"","KC_term","gene"
"118","ALTERS CELL PROLIFERATION AND CELL DEATH","AREG"
"119","ALTERS CELL PROLIFERATION AND CELL DEATH","KDR"
"120","ALTERS CELL PROLIFERATION AND CELL DEATH","KIT"
"121","ALTERS CELL PROLIFERATION AND CELL DEATH","KRAS"
"122","ALTERS CELL PROLIFERATION AND CELL DEATH","STMN1"
"123","ALTERS CELL PROLIFERATION AND CELL DEATH","ARRB1"
"124","ALTERS CELL PROLIFERATION AND CELL DEATH","ARRB2"
"125","ALTERS CELL PROLIFERATION AND CELL DEATH","MAPT"
"126","ALTERS CELL PROLIFERATION AND CELL DEATH","MAX"
"127","ALTERS CELL PROLIFERATION AND CELL DEATH","MEF2C"
"128","ALTERS CELL PROLIFERATION AND CELL DEATH","MAP3K1"
"129","ALTERS CELL PROLIFERATION AND CELL DEATH","MAP3K3"
"130","ALTERS CELL PROLIFERATION AND CELL DEATH","MAP3K4"
"131","ALTERS CELL PROLIFERATION AND CELL DEATH","MAP3K5"
"132","ALTERS CELL PROLIFERATION AND CELL DEATH","MET"
"133","ALTERS CELL PROLIFERATION AND CELL DEATH","KITLG"
"134","ALTERS CELL PROLIFERATION AND CELL DEATH","MAP3K9"
"135","ALTERS CELL PROLIFERATION AND CELL DEATH","MAP3K10"
"136","ALTERS CELL PROLIFERATION AND CELL DEATH","MAP3K11"
"137","ALTERS CELL PROLIFERATION AND CELL DEATH","MYC"
"138","ALTERS CELL PROLIFERATION AND CELL DEATH","MYD88"
"139","ALTERS CELL PROLIFERATION AND CELL DEATH","GADD45B"
"140","ALTERS CELL PROLIFERATION AND CELL DEATH","ATF4"
"141","ALTERS CELL PROLIFERATION AND CELL DEATH","NF1"
"142","ALTERS CELL PROLIFERATION AND CELL DEATH","NFATC1"
"143","ALTERS CELL PROLIFERATION AND CELL DEATH","NFATC3"
"144","ALTERS CELL PROLIFERATION AND CELL DEATH","NFKB1"
"145","ALTERS CELL PROLIFERATION AND CELL DEATH","NFKB2"
"146","ALTERS CELL PROLIFERATION AND CELL DEATH","NGF"
"147","ALTERS CELL PROLIFERATION AND CELL DEATH","NGFR"
"148","ALTERS CELL PROLIFERATION AND CELL DEATH","NRAS"
"149","ALTERS CELL PROLIFERATION AND CELL DEATH","NRTN"
"150","ALTERS CELL PROLIFERATION AND CELL DEATH","NTF3"
"151","ALTERS CELL PROLIFERATION AND CELL DEATH","NTF4"
"152","ALTERS CELL PROLIFERATION AND CELL DEATH","NTRK1"
"153","ALTERS CELL PROLIFERATION AND CELL DEATH","NTRK2"
"154","ALTERS CELL PROLIFERATION AND CELL DEATH","PAK1"
"155","ALTERS CELL PROLIFERATION AND CELL DEATH","PAK2"
"156","ALTERS CELL PROLIFERATION AND CELL DEATH","IRAK4"
"157","ALTERS CELL PROLIFERATION AND CELL DEATH","ECSIT"
"158","ALTERS CELL PROLIFERATION AND CELL DEATH","TAOK3"
"159","ALTERS CELL PROLIFERATION AND CELL DEATH","ANGPT4"
"160","ALTERS CELL PROLIFERATION AND CELL DEATH","PDGFA"
"161","ALTERS CELL PROLIFERATION AND CELL DEATH","PDGFB"
"162","ALTERS CELL PROLIFERATION AND CELL DEATH","PDGFRA"
"163","ALTERS CELL PROLIFERATION AND CELL DEATH","PDGFRB"
"164","ALTERS CELL PROLIFERATION AND CELL DEATH","NLK"
"165","ALTERS CELL PROLIFERATION AND CELL DEATH","MAP3K20"
"166","ALTERS CELL PROLIFERATION AND CELL DEATH","PGF"
"167","ALTERS CELL PROLIFERATION AND CELL DEATH","PLA2G4A"
"168","ALTERS CELL PROLIFERATION AND CELL DEATH","PPM1A"
"169","ALTERS CELL PROLIFERATION AND CELL DEATH","PPM1B"
"170","ALTERS CELL PROLIFERATION AND CELL DEATH","PPP3CA"
"171","ALTERS CELL PROLIFERATION AND CELL DEATH","PPP3CB"
"172","ALTERS CELL PROLIFERATION AND CELL DEATH","PPP3CC"
"173","ALTERS CELL PROLIFERATION AND CELL DEATH","PPP3R1"
"174","ALTERS CELL PROLIFERATION AND CELL DEATH","PPP3R2"
"175","ALTERS CELL PROLIFERATION AND CELL DEATH","PPP5C"
"176","ALTERS CELL PROLIFERATION AND CELL DEATH","PRKACA"
"177","ALTERS CELL PROLIFERATION AND CELL DEATH","PRKACB"
"178","ALTERS CELL PROLIFERATION AND CELL DEATH","PRKACG"
"179","ALTERS CELL PROLIFERATION AND CELL DEATH","PRKCA"
"180","ALTERS CELL PROLIFERATION AND CELL DEATH","PRKCB"
"181","ALTERS CELL PROLIFERATION AND CELL DEATH","CACNA2D3"
"182","ALTERS CELL PROLIFERATION AND CELL DEATH","PRKCG"
"183","ALTERS CELL PROLIFERATION AND CELL DEATH","MAPK1"
"184","ALTERS CELL PROLIFERATION AND CELL DEATH","MAPK3"
"185","ALTERS CELL PROLIFERATION AND CELL DEATH","GNG12"
"186","ALTERS CELL PROLIFERATION AND CELL DEATH","MAPK7"
"187","ALTERS CELL PROLIFERATION AND CELL DEATH","MAPK8"
"188","ALTERS CELL PROLIFERATION AND CELL DEATH","MAPK11"
"189","ALTERS CELL PROLIFERATION AND CELL DEATH","MAPK9"
"190","ALTERS CELL PROLIFERATION AND CELL DEATH","MAPK10"
"191","ALTERS CELL PROLIFERATION AND CELL DEATH","MAPK13"
"192","ALTERS CELL PROLIFERATION AND CELL DEATH","PDGFC"
"193","ALTERS CELL PROLIFERATION AND CELL DEATH","MAP2K1"
"194","ALTERS CELL PROLIFERATION AND CELL DEATH","MAP2K2"
"195","ALTERS CELL PROLIFERATION AND CELL DEATH","MAP2K3"
"196","ALTERS CELL PROLIFERATION AND CELL DEATH","MAP2K5"
"197","ALTERS CELL PROLIFERATION AND CELL DEATH","MAP2K6"
"198","ALTERS CELL PROLIFERATION AND CELL DEATH","MAP2K7"
"199","ALTERS CELL PROLIFERATION AND CELL DEATH","PSPN"
"200","ALTERS CELL PROLIFERATION AND CELL DEATH","TAOK1"
"201","ALTERS CELL PROLIFERATION AND CELL DEATH","PTPN7"
"202","ALTERS CELL PROLIFERATION AND CELL DEATH","PTPRR"
"203","ALTERS CELL PROLIFERATION AND CELL DEATH","MAP4K2"
"204","ALTERS CELL PROLIFERATION AND CELL DEATH","RAC1"
"205","ALTERS CELL PROLIFERATION AND CELL DEATH","RAC2"
"206","ALTERS CELL PROLIFERATION AND CELL DEATH","RAC3"
"207","ALTERS CELL PROLIFERATION AND CELL DEATH","RAF1"
"208","ALTERS CELL PROLIFERATION AND CELL DEATH","RAP1A"
"209","ALTERS CELL PROLIFERATION AND CELL DEATH","RAP1B"
"210","ALTERS CELL PROLIFERATION AND CELL DEATH","RASA1"
"211","ALTERS CELL PROLIFERATION AND CELL DEATH","RASA2"
"212","ALTERS CELL PROLIFERATION AND CELL DEATH","RASGRF1"
"213","ALTERS CELL PROLIFERATION AND CELL DEATH","RASGRF2"
"214","ALTERS CELL PROLIFERATION AND CELL DEATH","CACNG8"
"215","ALTERS CELL PROLIFERATION AND CELL DEATH","CACNG7"
"216","ALTERS CELL PROLIFERATION AND CELL DEATH","CACNG6"
"217","ALTERS CELL PROLIFERATION AND CELL DEATH","RELA"
"218","ALTERS CELL PROLIFERATION AND CELL DEATH","RELB"
"219","ALTERS CELL PROLIFERATION AND CELL DEATH","RET"
"220","ALTERS CELL PROLIFERATION AND CELL DEATH","RPS6KA1"
"221","ALTERS CELL PROLIFERATION AND CELL DEATH","RPS6KA2"
"222","ALTERS CELL PROLIFERATION AND CELL DEATH","RPS6KA3"
"223","ALTERS CELL PROLIFERATION AND CELL DEATH","RRAS"
"224","ALTERS CELL PROLIFERATION AND CELL DEATH","BDNF"
"225","ALTERS CELL PROLIFERATION AND CELL DEATH","MAPK12"
"226","ALTERS CELL PROLIFERATION AND CELL DEATH","MAP2K4"
"227","ALTERS CELL PROLIFERATION AND CELL DEATH","SOS1"
"228","ALTERS CELL PROLIFERATION AND CELL DEATH","SOS2"
"229","ALTERS CELL PROLIFERATION AND CELL DEATH","SRF"
"230","ALTERS CELL PROLIFERATION AND CELL DEATH","BRAF"
"231","ALTERS CELL PROLIFERATION AND CELL DEATH","STK3"
"232","ALTERS CELL PROLIFERATION AND CELL DEATH","STK4"
"233","ALTERS CELL PROLIFERATION AND CELL DEATH","MAP3K7"
"234","ALTERS CELL PROLIFERATION AND CELL DEATH","TEK"
"235","ALTERS CELL PROLIFERATION AND CELL DEATH","TGFA"
"236","ALTERS CELL PROLIFERATION AND CELL DEATH","TGFB1"
"237","ALTERS CELL PROLIFERATION AND CELL DEATH","TGFB2"
"238","ALTERS CELL PROLIFERATION AND CELL DEATH","TGFB3"
"239","ALTERS CELL PROLIFERATION AND CELL DEATH","TGFBR1"
"240","ALTERS CELL PROLIFERATION AND CELL DEATH","TGFBR2"
"241","ALTERS CELL PROLIFERATION AND CELL DEATH","TNF"
"242","ALTERS CELL PROLIFERATION AND CELL DEATH","TNFRSF1A"
"243","ALTERS CELL PROLIFERATION AND CELL DEATH","TP53"
"244","ALTERS CELL PROLIFERATION AND CELL DEATH","TRAF2"
"245","ALTERS CELL PROLIFERATION AND CELL DEATH","TRAF6"
"246","ALTERS CELL PROLIFERATION AND CELL DEATH","VEGFA"
"247","ALTERS CELL PROLIFERATION AND CELL DEATH","VEGFB"
"248","ALTERS CELL PROLIFERATION AND CELL DEATH","VEGFC"
"249","ALTERS CELL PROLIFERATION AND CELL DEATH","CACNA1A"
"250","ALTERS CELL PROLIFERATION AND CELL DEATH","CACNA1B"
"251","ALTERS CELL PROLIFERATION AND CELL DEATH","CACNA1C"
"252","ALTERS CELL PROLIFERATION AND CELL DEATH","CACNA1D"
"253","ALTERS CELL PROLIFERATION AND CELL DEATH","CACNA1E"
"254","ALTERS CELL PROLIFERATION AND CELL DEATH","CACNA1F"
"255","ALTERS CELL PROLIFERATION AND CELL DEATH","MAP3K12"
"256","ALTERS CELL PROLIFERATION AND CELL DEATH","CACNA1S"
"257","ALTERS CELL PROLIFERATION AND CELL DEATH","CACNA2D1"
"258","ALTERS CELL PROLIFERATION AND CELL DEATH","CACNB1"
"259","ALTERS CELL PROLIFERATION AND CELL DEATH","CACNB2"
"260","ALTERS CELL PROLIFERATION AND CELL DEATH","CACNB3"
"261","ALTERS CELL PROLIFERATION AND CELL DEATH","CACNB4"
"262","ALTERS CELL PROLIFERATION AND CELL DEATH","CACNG1"
"263","ALTERS CELL PROLIFERATION AND CELL DEATH","MAPKAPK3"
"264","ALTERS CELL PROLIFERATION AND CELL DEATH","PDGFD"
"265","ALTERS CELL PROLIFERATION AND CELL DEATH","FGF23"
"266","ALTERS CELL PROLIFERATION AND CELL DEATH","DUSP16"
"267","ALTERS CELL PROLIFERATION AND CELL DEATH","CASP3"
"268","ALTERS CELL PROLIFERATION AND CELL DEATH","MAP3K21"
"269","ALTERS CELL PROLIFERATION AND CELL DEATH","PTPN5"
"270","ALTERS CELL PROLIFERATION AND CELL DEATH","MAP4K3"
"271","ALTERS CELL PROLIFERATION AND CELL DEATH","IKBKG"
"272","ALTERS CELL PROLIFERATION AND CELL DEATH","MAPKAPK5"
"273","ALTERS CELL PROLIFERATION AND CELL DEATH","MKNK1"
"274","ALTERS CELL PROLIFERATION AND CELL DEATH","PLA2G4C"
"275","ALTERS CELL PROLIFERATION AND CELL DEATH","LAMTOR3"
"276","ALTERS CELL PROLIFERATION AND CELL DEATH","JMJD7-PLA2G4B"
"277","ALTERS CELL PROLIFERATION AND CELL DEATH","TRADD"
"278","ALTERS CELL PROLIFERATION AND CELL DEATH","FGF18"
"279","ALTERS CELL PROLIFERATION AND CELL DEATH","FGF17"
"280","ALTERS CELL PROLIFERATION AND CELL DEATH","FGF16"
"281","ALTERS CELL PROLIFERATION AND CELL DEATH","CACNA1I"
"282","ALTERS CELL PROLIFERATION AND CELL DEATH","CACNA1H"
"283","ALTERS CELL PROLIFERATION AND CELL DEATH","CACNA1G"
"284","ALTERS CELL PROLIFERATION AND CELL DEATH","RPS6KA4"
"285","ALTERS CELL PROLIFERATION AND CELL DEATH","MAP3K14"
"286","ALTERS CELL PROLIFERATION AND CELL DEATH","ARTN"
"287","ALTERS CELL PROLIFERATION AND CELL DEATH","MAP3K6"
"288","ALTERS CELL PROLIFERATION AND CELL DEATH","MAP3K13"
"289","ALTERS CELL PROLIFERATION AND CELL DEATH","RPS6KA5"
"290","ALTERS CELL PROLIFERATION AND CELL DEATH","CACNA2D2"
"291","ALTERS CELL PROLIFERATION AND CELL DEATH","MAPKAPK2"
"292","ALTERS CELL PROLIFERATION AND CELL DEATH","CD14"
"293","ALTERS CELL PROLIFERATION AND CELL DEATH","TAOK2"
"294","ALTERS CELL PROLIFERATION AND CELL DEATH","CACNA2D4"
"295","ALTERS CELL PROLIFERATION AND CELL DEATH","MAP4K4"
"296","ALTERS CELL PROLIFERATION AND CELL DEATH","MAPK8IP1"
"297","ALTERS CELL PROLIFERATION AND CELL DEATH","RAPGEF2"
"298","ALTERS CELL PROLIFERATION AND CELL DEATH","CDC25B"
"299","ALTERS CELL PROLIFERATION AND CELL DEATH","FGF19"
"300","ALTERS CELL PROLIFERATION AND CELL DEATH","CDC42"
"301","ALTERS CELL PROLIFERATION AND CELL DEATH","CDKN1A"
"302","ALTERS CELL PROLIFERATION AND CELL DEATH","CDKN1B"
"303","ALTERS CELL PROLIFERATION AND CELL DEATH","PAK4"
"304","ALTERS CELL PROLIFERATION AND CELL DEATH","BUB1B-PAK6"
"305","ALTERS CELL PROLIFERATION AND CELL DEATH","NRG3"
"306","ALTERS CELL PROLIFERATION AND CELL DEATH","P3R3URF-PIK3R3"
"307","ALTERS CELL PROLIFERATION AND CELL DEATH","NRG4"
"308","ALTERS CELL PROLIFERATION AND CELL DEATH","HBEGF"
"309","ALTERS CELL PROLIFERATION AND CELL DEATH","EIF4EBP1"
"310","ALTERS CELL PROLIFERATION AND CELL DEATH","MTOR"
"311","ALTERS CELL PROLIFERATION AND CELL DEATH","ABL1"
"312","ALTERS CELL PROLIFERATION AND CELL DEATH","GAB1"
"313","ALTERS CELL PROLIFERATION AND CELL DEATH","SHC2"
"314","ALTERS CELL PROLIFERATION AND CELL DEATH","ABL2"
"315","ALTERS CELL PROLIFERATION AND CELL DEATH","GSK3B"
"316","ALTERS CELL PROLIFERATION AND CELL DEATH","NRG1"
"317","ALTERS CELL PROLIFERATION AND CELL DEATH","SHC4"
"318","ALTERS CELL PROLIFERATION AND CELL DEATH","NCK1"
"319","ALTERS CELL PROLIFERATION AND CELL DEATH","PAK3"
"320","ALTERS CELL PROLIFERATION AND CELL DEATH","PIK3CA"
"321","ALTERS CELL PROLIFERATION AND CELL DEATH","PIK3CB"
"322","ALTERS CELL PROLIFERATION AND CELL DEATH","PIK3CD"
"323","ALTERS CELL PROLIFERATION AND CELL DEATH","PIK3R1"
"324","ALTERS CELL PROLIFERATION AND CELL DEATH","PIK3R2"
"325","ALTERS CELL PROLIFERATION AND CELL DEATH","PLCG1"
"326","ALTERS CELL PROLIFERATION AND CELL DEATH","SHC3"
"327","ALTERS CELL PROLIFERATION AND CELL DEATH","PLCG2"
"328","ALTERS CELL PROLIFERATION AND CELL DEATH","PAK6"
"329","ALTERS CELL PROLIFERATION AND CELL DEATH","PAK5"
"330","ALTERS CELL PROLIFERATION AND CELL DEATH","BAD"
"331","ALTERS CELL PROLIFERATION AND CELL DEATH","PTK2"
"332","ALTERS CELL PROLIFERATION AND CELL DEATH","RPS6KB1"
"333","ALTERS CELL PROLIFERATION AND CELL DEATH","RPS6KB2"
"334","ALTERS CELL PROLIFERATION AND CELL DEATH","SHC1"
"335","ALTERS CELL PROLIFERATION AND CELL DEATH","SRC"
"336","ALTERS CELL PROLIFERATION AND CELL DEATH","STAT5A"
"337","ALTERS CELL PROLIFERATION AND CELL DEATH","STAT5B"
"338","ALTERS CELL PROLIFERATION AND CELL DEATH","BTC"
"339","ALTERS CELL PROLIFERATION AND CELL DEATH","CAMK2A"
"340","ALTERS CELL PROLIFERATION AND CELL DEATH","CAMK2B"
"341","ALTERS CELL PROLIFERATION AND CELL DEATH","CAMK2D"
"342","ALTERS CELL PROLIFERATION AND CELL DEATH","CAMK2G"
"343","ALTERS CELL PROLIFERATION AND CELL DEATH","NCK2"
"344","ALTERS CELL PROLIFERATION AND CELL DEATH","PIK3R3"
"345","ALTERS CELL PROLIFERATION AND CELL DEATH","CBL"
"346","ALTERS CELL PROLIFERATION AND CELL DEATH","CBLB"
"347","ALTERS CELL PROLIFERATION AND CELL DEATH","NRG2"
"348","ALTERS CELL PROLIFERATION AND CELL DEATH","FRAT1"
"349","ALTERS CELL PROLIFERATION AND CELL DEATH","TLE7"
"350","ALTERS CELL PROLIFERATION AND CELL DEATH","TPTEP2-CSNK1E"
"351","ALTERS CELL PROLIFERATION AND CELL DEATH","APC2"
"352","ALTERS CELL PROLIFERATION AND CELL DEATH","WIF1"
"353","ALTERS CELL PROLIFERATION AND CELL DEATH","FZD10"
"354","ALTERS CELL PROLIFERATION AND CELL DEATH","CSNK1A1L"
"355","ALTERS CELL PROLIFERATION AND CELL DEATH","CREBBP"
"356","ALTERS CELL PROLIFERATION AND CELL DEATH","PRICKLE1"
"357","ALTERS CELL PROLIFERATION AND CELL DEATH","CSNK1A1"
"358","ALTERS CELL PROLIFERATION AND CELL DEATH","CSNK1E"
"359","ALTERS CELL PROLIFERATION AND CELL DEATH","CSNK2A1"
"360","ALTERS CELL PROLIFERATION AND CELL DEATH","CSNK2A2"
"361","ALTERS CELL PROLIFERATION AND CELL DEATH","CSNK2B"
"362","ALTERS CELL PROLIFERATION AND CELL DEATH","NOTUM"
"363","ALTERS CELL PROLIFERATION AND CELL DEATH","APCDD1"
"364","ALTERS CELL PROLIFERATION AND CELL DEATH","CTBP1"
"365","ALTERS CELL PROLIFERATION AND CELL DEATH","CTBP2"
"366","ALTERS CELL PROLIFERATION AND CELL DEATH","CTNNB1"
"367","ALTERS CELL PROLIFERATION AND CELL DEATH","CTNND2"
"368","ALTERS CELL PROLIFERATION AND CELL DEATH","APCDD1L"
"369","ALTERS CELL PROLIFERATION AND CELL DEATH","PRICKLE2"
"370","ALTERS CELL PROLIFERATION AND CELL DEATH","DVL1"
"371","ALTERS CELL PROLIFERATION AND CELL DEATH","DVL2"
"372","ALTERS CELL PROLIFERATION AND CELL DEATH","DVL3"
"373","ALTERS CELL PROLIFERATION AND CELL DEATH","EP300"
"374","ALTERS CELL PROLIFERATION AND CELL DEATH","GPC4"
"375","ALTERS CELL PROLIFERATION AND CELL DEATH","DKK1"
"376","ALTERS CELL PROLIFERATION AND CELL DEATH","DAAM1"
"377","ALTERS CELL PROLIFERATION AND CELL DEATH","PLCB1"
"378","ALTERS CELL PROLIFERATION AND CELL DEATH","FBXW11"
"379","ALTERS CELL PROLIFERATION AND CELL DEATH","FRAT2"
"380","ALTERS CELL PROLIFERATION AND CELL DEATH","SIRT1"
"381","ALTERS CELL PROLIFERATION AND CELL DEATH","DAAM2"
"382","ALTERS CELL PROLIFERATION AND CELL DEATH","FRZB"
"383","ALTERS CELL PROLIFERATION AND CELL DEATH","FZD2"
"384","ALTERS CELL PROLIFERATION AND CELL DEATH","CBY1"
"385","ALTERS CELL PROLIFERATION AND CELL DEATH","BAMBI"
"386","ALTERS CELL PROLIFERATION AND CELL DEATH","CACYBP"
"387","ALTERS CELL PROLIFERATION AND CELL DEATH","DKK4"
"388","ALTERS CELL PROLIFERATION AND CELL DEATH","DKK2"
