"","KC_term","gene"
"115","ALTERS CELL PROLIFERATION AND CELL DEATH","UBE2E1"
"116","ALTERS CELL PROLIFERATION AND CELL DEATH","UBE2S"
"117","ALTERS CELL PROLIFERATION AND CELL DEATH","ACTA2"
"118","ALTERS CELL PROLIFERATION AND CELL DEATH","ADAM10"
"119","ALTERS CELL PROLIFERATION AND CELL DEATH","ADAM17"
"120","ALTERS CELL PROLIFERATION AND CELL DEATH","AGO1"
"121","ALTERS CELL PROLIFERATION AND CELL DEATH","AGO2"
"122","ALTERS CELL PROLIFERATION AND CELL DEATH","AGO3"
"123","ALTERS CELL PROLIFERATION AND CELL DEATH","AGO4"
"124","ALTERS CELL PROLIFERATION AND CELL DEATH","AKT1"
"125","ALTERS CELL PROLIFERATION AND CELL DEATH","APH1A"
"126","ALTERS CELL PROLIFERATION AND CELL DEATH","APH1B"
"127","ALTERS CELL PROLIFERATION AND CELL DEATH","ARRB1"
"128","ALTERS CELL PROLIFERATION AND CELL DEATH","ARRB2"
"129","ALTERS CELL PROLIFERATION AND CELL DEATH","ATP2A1"
"130","ALTERS CELL PROLIFERATION AND CELL DEATH","ATP2A2"
"131","ALTERS CELL PROLIFERATION AND CELL DEATH","ATP2A3"
"132","ALTERS CELL PROLIFERATION AND CELL DEATH","B4GALT1"
"133","ALTERS CELL PROLIFERATION AND CELL DEATH","CCNC"
"134","ALTERS CELL PROLIFERATION AND CELL DEATH","CDK8"
"135","ALTERS CELL PROLIFERATION AND CELL DEATH","CNTN1"
"136","ALTERS CELL PROLIFERATION AND CELL DEATH","CREB1"
"137","ALTERS CELL PROLIFERATION AND CELL DEATH","CREBBP"
"138","ALTERS CELL PROLIFERATION AND CELL DEATH","CUL1"
"139","ALTERS CELL PROLIFERATION AND CELL DEATH","DLGAP5"
"140","ALTERS CELL PROLIFERATION AND CELL DEATH","DLK1"
"141","ALTERS CELL PROLIFERATION AND CELL DEATH","DLL1"
"142","ALTERS CELL PROLIFERATION AND CELL DEATH","DLL4"
"143","ALTERS CELL PROLIFERATION AND CELL DEATH","DNER"
"144","ALTERS CELL PROLIFERATION AND CELL DEATH","DTX1"
"145","ALTERS CELL PROLIFERATION AND CELL DEATH","DTX2"
"146","ALTERS CELL PROLIFERATION AND CELL DEATH","DTX4"
"147","ALTERS CELL PROLIFERATION AND CELL DEATH","EGF"
"148","ALTERS CELL PROLIFERATION AND CELL DEATH","EGFR"
"149","ALTERS CELL PROLIFERATION AND CELL DEATH","ELF3"
"150","ALTERS CELL PROLIFERATION AND CELL DEATH","EP300"
"151","ALTERS CELL PROLIFERATION AND CELL DEATH","FABP7"
"152","ALTERS CELL PROLIFERATION AND CELL DEATH","FBXW7"
"153","ALTERS CELL PROLIFERATION AND CELL DEATH","FCER2"
"154","ALTERS CELL PROLIFERATION AND CELL DEATH","FLT4"
"155","ALTERS CELL PROLIFERATION AND CELL DEATH","FURIN"
"156","ALTERS CELL PROLIFERATION AND CELL DEATH","GZMB"
"157","ALTERS CELL PROLIFERATION AND CELL DEATH","HDAC1"
"158","ALTERS CELL PROLIFERATION AND CELL DEATH","HDAC10"
"159","ALTERS CELL PROLIFERATION AND CELL DEATH","HDAC11"
"160","ALTERS CELL PROLIFERATION AND CELL DEATH","HDAC2"
"161","ALTERS CELL PROLIFERATION AND CELL DEATH","HDAC3"
"162","ALTERS CELL PROLIFERATION AND CELL DEATH","HDAC4"
"163","ALTERS CELL PROLIFERATION AND CELL DEATH","HDAC5"
"164","ALTERS CELL PROLIFERATION AND CELL DEATH","HDAC6"
"165","ALTERS CELL PROLIFERATION AND CELL DEATH","HDAC7"
"166","ALTERS CELL PROLIFERATION AND CELL DEATH","HDAC8"
"167","ALTERS CELL PROLIFERATION AND CELL DEATH","HDAC9"
"168","ALTERS CELL PROLIFERATION AND CELL DEATH","HES1"
"169","ALTERS CELL PROLIFERATION AND CELL DEATH","HES5"
"170","ALTERS CELL PROLIFERATION AND CELL DEATH","HEY1"
"171","ALTERS CELL PROLIFERATION AND CELL DEATH","HEY2"
"172","ALTERS CELL PROLIFERATION AND CELL DEATH","HEYL"
"173","ALTERS CELL PROLIFERATION AND CELL DEATH","HIF1A"
"174","ALTERS CELL PROLIFERATION AND CELL DEATH","IKZF1"
"175","ALTERS CELL PROLIFERATION AND CELL DEATH","ITCH"
"176","ALTERS CELL PROLIFERATION AND CELL DEATH","JAG1"
"177","ALTERS CELL PROLIFERATION AND CELL DEATH","JAG2"
"178","ALTERS CELL PROLIFERATION AND CELL DEATH","KAT2A"
"179","ALTERS CELL PROLIFERATION AND CELL DEATH","KAT2B"
"180","ALTERS CELL PROLIFERATION AND CELL DEATH","LFNG"
"181","ALTERS CELL PROLIFERATION AND CELL DEATH","MAML1"
"182","ALTERS CELL PROLIFERATION AND CELL DEATH","MAML2"
"183","ALTERS CELL PROLIFERATION AND CELL DEATH","MAML3"
"184","ALTERS CELL PROLIFERATION AND CELL DEATH","MAMLD1"
"185","ALTERS CELL PROLIFERATION AND CELL DEATH","MDK"
"186","ALTERS CELL PROLIFERATION AND CELL DEATH","MFNG"
"187","ALTERS CELL PROLIFERATION AND CELL DEATH","MIB1"
"188","ALTERS CELL PROLIFERATION AND CELL DEATH","MIB2"
"189","ALTERS CELL PROLIFERATION AND CELL DEATH","MIR150"
"190","ALTERS CELL PROLIFERATION AND CELL DEATH","MIR181C"
"191","ALTERS CELL PROLIFERATION AND CELL DEATH","MIR200B"
"192","ALTERS CELL PROLIFERATION AND CELL DEATH","MIR200C"
"193","ALTERS CELL PROLIFERATION AND CELL DEATH","MIR206"
"194","ALTERS CELL PROLIFERATION AND CELL DEATH","MIR302A"
"195","ALTERS CELL PROLIFERATION AND CELL DEATH","MIR34A"
"196","ALTERS CELL PROLIFERATION AND CELL DEATH","MIR34B"
"197","ALTERS CELL PROLIFERATION AND CELL DEATH","MIR34C"
"198","ALTERS CELL PROLIFERATION AND CELL DEATH","MIR449A"
"199","ALTERS CELL PROLIFERATION AND CELL DEATH","MIR449B"
"200","ALTERS CELL PROLIFERATION AND CELL DEATH","MIR449C"
"201","ALTERS CELL PROLIFERATION AND CELL DEATH","MOV10"
"202","ALTERS CELL PROLIFERATION AND CELL DEATH","MYC"
"203","ALTERS CELL PROLIFERATION AND CELL DEATH","NBEA"
"204","ALTERS CELL PROLIFERATION AND CELL DEATH","NCOR1"
"205","ALTERS CELL PROLIFERATION AND CELL DEATH","NCOR2"
"206","ALTERS CELL PROLIFERATION AND CELL DEATH","NCSTN"
"207","ALTERS CELL PROLIFERATION AND CELL DEATH","NEURL1"
"208","ALTERS CELL PROLIFERATION AND CELL DEATH","NEURL1B"
"209","ALTERS CELL PROLIFERATION AND CELL DEATH","NOTCH1"
"210","ALTERS CELL PROLIFERATION AND CELL DEATH","NOTCH2"
"211","ALTERS CELL PROLIFERATION AND CELL DEATH","NOTCH3"
"212","ALTERS CELL PROLIFERATION AND CELL DEATH","NOTCH4"
"213","ALTERS CELL PROLIFERATION AND CELL DEATH","NUMB"
"214","ALTERS CELL PROLIFERATION AND CELL DEATH","PBX1"
"215","ALTERS CELL PROLIFERATION AND CELL DEATH","PLXND1"
"216","ALTERS CELL PROLIFERATION AND CELL DEATH","POFUT1"
"217","ALTERS CELL PROLIFERATION AND CELL DEATH","POGLUT1"
"218","ALTERS CELL PROLIFERATION AND CELL DEATH","PRKCI"
"219","ALTERS CELL PROLIFERATION AND CELL DEATH","PSEN1"
"220","ALTERS CELL PROLIFERATION AND CELL DEATH","PSEN2"
"221","ALTERS CELL PROLIFERATION AND CELL DEATH","PSENEN"
"222","ALTERS CELL PROLIFERATION AND CELL DEATH","PSMA1"
"223","ALTERS CELL PROLIFERATION AND CELL DEATH","PSMA2"
"224","ALTERS CELL PROLIFERATION AND CELL DEATH","PSMA3"
"225","ALTERS CELL PROLIFERATION AND CELL DEATH","PSMA4"
"226","ALTERS CELL PROLIFERATION AND CELL DEATH","PSMA5"
"227","ALTERS CELL PROLIFERATION AND CELL DEATH","PSMA6"
"228","ALTERS CELL PROLIFERATION AND CELL DEATH","PSMA7"
"229","ALTERS CELL PROLIFERATION AND CELL DEATH","PSMB1"
"230","ALTERS CELL PROLIFERATION AND CELL DEATH","PSMB10"
"231","ALTERS CELL PROLIFERATION AND CELL DEATH","PSMB2"
"232","ALTERS CELL PROLIFERATION AND CELL DEATH","PSMB3"
"233","ALTERS CELL PROLIFERATION AND CELL DEATH","PSMB4"
"234","ALTERS CELL PROLIFERATION AND CELL DEATH","PSMB5"
"235","ALTERS CELL PROLIFERATION AND CELL DEATH","PSMB6"
"236","ALTERS CELL PROLIFERATION AND CELL DEATH","PSMB7"
"237","ALTERS CELL PROLIFERATION AND CELL DEATH","PSMB8"
"238","ALTERS CELL PROLIFERATION AND CELL DEATH","PSMB9"
"239","ALTERS CELL PROLIFERATION AND CELL DEATH","PSMC1"
"240","ALTERS CELL PROLIFERATION AND CELL DEATH","PSMC2"
"241","ALTERS CELL PROLIFERATION AND CELL DEATH","PSMC3"
"242","ALTERS CELL PROLIFERATION AND CELL DEATH","PSMC4"
"243","ALTERS CELL PROLIFERATION AND CELL DEATH","PSMC5"
"244","ALTERS CELL PROLIFERATION AND CELL DEATH","PSMC6"
"245","ALTERS CELL PROLIFERATION AND CELL DEATH","PSMD1"
"246","ALTERS CELL PROLIFERATION AND CELL DEATH","PSMD10"
"247","ALTERS CELL PROLIFERATION AND CELL DEATH","PSMD11"
"248","ALTERS CELL PROLIFERATION AND CELL DEATH","PSMD12"
"249","ALTERS CELL PROLIFERATION AND CELL DEATH","PSMD13"
"250","ALTERS CELL PROLIFERATION AND CELL DEATH","PSMD14"
"251","ALTERS CELL PROLIFERATION AND CELL DEATH","PSMD2"
"252","ALTERS CELL PROLIFERATION AND CELL DEATH","PSMD3"
"253","ALTERS CELL PROLIFERATION AND CELL DEATH","PSMD4"
"254","ALTERS CELL PROLIFERATION AND CELL DEATH","PSMD5"
"255","ALTERS CELL PROLIFERATION AND CELL DEATH","PSMD6"
"256","ALTERS CELL PROLIFERATION AND CELL DEATH","PSMD7"
"257","ALTERS CELL PROLIFERATION AND CELL DEATH","PSMD8"
"258","ALTERS CELL PROLIFERATION AND CELL DEATH","PSMD9"
"259","ALTERS CELL PROLIFERATION AND CELL DEATH","PSME1"
"260","ALTERS CELL PROLIFERATION AND CELL DEATH","PSME2"
"261","ALTERS CELL PROLIFERATION AND CELL DEATH","PSME3"
"262","ALTERS CELL PROLIFERATION AND CELL DEATH","PSMF1"
"263","ALTERS CELL PROLIFERATION AND CELL DEATH","PTCRA"
"264","ALTERS CELL PROLIFERATION AND CELL DEATH","RAB6A"
"265","ALTERS CELL PROLIFERATION AND CELL DEATH","RBPJ"
"266","ALTERS CELL PROLIFERATION AND CELL DEATH","RBX1"
"267","ALTERS CELL PROLIFERATION AND CELL DEATH","RFNG"
"268","ALTERS CELL PROLIFERATION AND CELL DEATH","RPS27A"
"269","ALTERS CELL PROLIFERATION AND CELL DEATH","RUNX1"
"270","ALTERS CELL PROLIFERATION AND CELL DEATH","SEL1L"
"271","ALTERS CELL PROLIFERATION AND CELL DEATH","SEM1"
"272","ALTERS CELL PROLIFERATION AND CELL DEATH","SIRT6"
"273","ALTERS CELL PROLIFERATION AND CELL DEATH","SKP1"
"274","ALTERS CELL PROLIFERATION AND CELL DEATH","SMAD3"
"275","ALTERS CELL PROLIFERATION AND CELL DEATH","SNW1"
"276","ALTERS CELL PROLIFERATION AND CELL DEATH","ST3GAL3"
"277","ALTERS CELL PROLIFERATION AND CELL DEATH","ST3GAL4"
"278","ALTERS CELL PROLIFERATION AND CELL DEATH","ST3GAL6"
"279","ALTERS CELL PROLIFERATION AND CELL DEATH","STAT1"
"280","ALTERS CELL PROLIFERATION AND CELL DEATH","TACC3"
"281","ALTERS CELL PROLIFERATION AND CELL DEATH","TBL1X"
"282","ALTERS CELL PROLIFERATION AND CELL DEATH","TBL1XR1"
"283","ALTERS CELL PROLIFERATION AND CELL DEATH","TLE1"
"284","ALTERS CELL PROLIFERATION AND CELL DEATH","TLE2"
"285","ALTERS CELL PROLIFERATION AND CELL DEATH","TLE3"
"286","ALTERS CELL PROLIFERATION AND CELL DEATH","TLE4"
"287","ALTERS CELL PROLIFERATION AND CELL DEATH","TMED2"
"288","ALTERS CELL PROLIFERATION AND CELL DEATH","TNRC6A"
"289","ALTERS CELL PROLIFERATION AND CELL DEATH","TNRC6B"
"290","ALTERS CELL PROLIFERATION AND CELL DEATH","TNRC6C"
"291","ALTERS CELL PROLIFERATION AND CELL DEATH","UBA52"
"292","ALTERS CELL PROLIFERATION AND CELL DEATH","UBB"
"293","ALTERS CELL PROLIFERATION AND CELL DEATH","UBC"
"294","ALTERS CELL PROLIFERATION AND CELL DEATH","WWC1"
"295","ALTERS CELL PROLIFERATION AND CELL DEATH","WWP2"
"296","ALTERS CELL PROLIFERATION AND CELL DEATH","YBX1"
"297","ALTERS CELL PROLIFERATION AND CELL DEATH","YWHAZ"
"298","ALTERS CELL PROLIFERATION AND CELL DEATH","AKT1S1"
"299","ALTERS CELL PROLIFERATION AND CELL DEATH","AKT2"
"300","ALTERS CELL PROLIFERATION AND CELL DEATH","CAB39"
"301","ALTERS CELL PROLIFERATION AND CELL DEATH","CAB39L"
"302","ALTERS CELL PROLIFERATION AND CELL DEATH","EEF2K"
"303","ALTERS CELL PROLIFERATION AND CELL DEATH","EIF4B"
"304","ALTERS CELL PROLIFERATION AND CELL DEATH","EIF4E"
"305","ALTERS CELL PROLIFERATION AND CELL DEATH","EIF4EBP1"
"306","ALTERS CELL PROLIFERATION AND CELL DEATH","EIF4G1"
"307","ALTERS CELL PROLIFERATION AND CELL DEATH","FKBP1A"
"308","ALTERS CELL PROLIFERATION AND CELL DEATH","LAMTOR1"
"309","ALTERS CELL PROLIFERATION AND CELL DEATH","LAMTOR2"
"310","ALTERS CELL PROLIFERATION AND CELL DEATH","LAMTOR3"
"311","ALTERS CELL PROLIFERATION AND CELL DEATH","LAMTOR4"
"312","ALTERS CELL PROLIFERATION AND CELL DEATH","LAMTOR5"
"313","ALTERS CELL PROLIFERATION AND CELL DEATH","MLST8"
"314","ALTERS CELL PROLIFERATION AND CELL DEATH","MTOR"
"315","ALTERS CELL PROLIFERATION AND CELL DEATH","PPM1A"
"316","ALTERS CELL PROLIFERATION AND CELL DEATH","PRKAA1"
"317","ALTERS CELL PROLIFERATION AND CELL DEATH","PRKAA2"
"318","ALTERS CELL PROLIFERATION AND CELL DEATH","PRKAB1"
"319","ALTERS CELL PROLIFERATION AND CELL DEATH","PRKAB2"
"320","ALTERS CELL PROLIFERATION AND CELL DEATH","PRKAG1"
"321","ALTERS CELL PROLIFERATION AND CELL DEATH","PRKAG2"
"322","ALTERS CELL PROLIFERATION AND CELL DEATH","PRKAG3"
"323","ALTERS CELL PROLIFERATION AND CELL DEATH","RHEB"
"324","ALTERS CELL PROLIFERATION AND CELL DEATH","RPS6"
"325","ALTERS CELL PROLIFERATION AND CELL DEATH","RPS6KB1"
"326","ALTERS CELL PROLIFERATION AND CELL DEATH","RPTOR"
"327","ALTERS CELL PROLIFERATION AND CELL DEATH","RRAGA"
"328","ALTERS CELL PROLIFERATION AND CELL DEATH","RRAGB"
"329","ALTERS CELL PROLIFERATION AND CELL DEATH","RRAGC"
"330","ALTERS CELL PROLIFERATION AND CELL DEATH","RRAGD"
"331","ALTERS CELL PROLIFERATION AND CELL DEATH","SLC38A9"
"332","ALTERS CELL PROLIFERATION AND CELL DEATH","STK11"
"333","ALTERS CELL PROLIFERATION AND CELL DEATH","STRADA"
"334","ALTERS CELL PROLIFERATION AND CELL DEATH","STRADB"
"335","ALTERS CELL PROLIFERATION AND CELL DEATH","TSC1"
"336","ALTERS CELL PROLIFERATION AND CELL DEATH","TSC2"
"337","ALTERS CELL PROLIFERATION AND CELL DEATH","YWHAB"
"338","ALTERS CELL PROLIFERATION AND CELL DEATH","AMER1"
"339","ALTERS CELL PROLIFERATION AND CELL DEATH","AP2A1"
"340","ALTERS CELL PROLIFERATION AND CELL DEATH","AP2A2"
"341","ALTERS CELL PROLIFERATION AND CELL DEATH","AP2B1"
"342","ALTERS CELL PROLIFERATION AND CELL DEATH","AP2M1"
"343","ALTERS CELL PROLIFERATION AND CELL DEATH","AP2S1"
"344","ALTERS CELL PROLIFERATION AND CELL DEATH","APC"
"345","ALTERS CELL PROLIFERATION AND CELL DEATH","ASH2L"
"346","ALTERS CELL PROLIFERATION AND CELL DEATH","AXIN1"
"347","ALTERS CELL PROLIFERATION AND CELL DEATH","AXIN2"
"348","ALTERS CELL PROLIFERATION AND CELL DEATH","BCL9"
"349","ALTERS CELL PROLIFERATION AND CELL DEATH","BCL9L"
"350","ALTERS CELL PROLIFERATION AND CELL DEATH","BTRC"
"351","ALTERS CELL PROLIFERATION AND CELL DEATH","CALM1"
"352","ALTERS CELL PROLIFERATION AND CELL DEATH","CAMK2A"
"353","ALTERS CELL PROLIFERATION AND CELL DEATH","CAV1"
"354","ALTERS CELL PROLIFERATION AND CELL DEATH","CBY1"
"355","ALTERS CELL PROLIFERATION AND CELL DEATH","CCDC88C"
"356","ALTERS CELL PROLIFERATION AND CELL DEATH","CDC73"
"357","ALTERS CELL PROLIFERATION AND CELL DEATH","CHD8"
"358","ALTERS CELL PROLIFERATION AND CELL DEATH","CLTA"
"359","ALTERS CELL PROLIFERATION AND CELL DEATH","CLTB"
"360","ALTERS CELL PROLIFERATION AND CELL DEATH","CLTC"
"361","ALTERS CELL PROLIFERATION AND CELL DEATH","CSNK1A1"
"362","ALTERS CELL PROLIFERATION AND CELL DEATH","CSNK1E"
"363","ALTERS CELL PROLIFERATION AND CELL DEATH","CSNK1G2"
"364","ALTERS CELL PROLIFERATION AND CELL DEATH","CSNK2A1"
"365","ALTERS CELL PROLIFERATION AND CELL DEATH","CSNK2A2"
"366","ALTERS CELL PROLIFERATION AND CELL DEATH","CSNK2B"
"367","ALTERS CELL PROLIFERATION AND CELL DEATH","CTBP1"
"368","ALTERS CELL PROLIFERATION AND CELL DEATH","CTBP2"
"369","ALTERS CELL PROLIFERATION AND CELL DEATH","CTNNB1"
"370","ALTERS CELL PROLIFERATION AND CELL DEATH","CTNNBIP1"
"371","ALTERS CELL PROLIFERATION AND CELL DEATH","CUL3"
"372","ALTERS CELL PROLIFERATION AND CELL DEATH","CXXC4"
"373","ALTERS CELL PROLIFERATION AND CELL DEATH","DAAM1"
"374","ALTERS CELL PROLIFERATION AND CELL DEATH","DACT1"
"375","ALTERS CELL PROLIFERATION AND CELL DEATH","DKK1"
"376","ALTERS CELL PROLIFERATION AND CELL DEATH","DKK2"
"377","ALTERS CELL PROLIFERATION AND CELL DEATH","DKK4"
"378","ALTERS CELL PROLIFERATION AND CELL DEATH","DVL1"
"379","ALTERS CELL PROLIFERATION AND CELL DEATH","DVL2"
"380","ALTERS CELL PROLIFERATION AND CELL DEATH","DVL3"
"381","ALTERS CELL PROLIFERATION AND CELL DEATH","FRAT1"
"382","ALTERS CELL PROLIFERATION AND CELL DEATH","FRAT2"
"383","ALTERS CELL PROLIFERATION AND CELL DEATH","FZD1"
"384","ALTERS CELL PROLIFERATION AND CELL DEATH","FZD2"
"385","ALTERS CELL PROLIFERATION AND CELL DEATH","FZD3"
"386","ALTERS CELL PROLIFERATION AND CELL DEATH","FZD4"
"387","ALTERS CELL PROLIFERATION AND CELL DEATH","FZD5"
"388","ALTERS CELL PROLIFERATION AND CELL DEATH","FZD6"
"389","ALTERS CELL PROLIFERATION AND CELL DEATH","FZD7"
"390","ALTERS CELL PROLIFERATION AND CELL DEATH","FZD8"
